category,question,answer
Clans,How to change the Clan name and tag,"Important rules
Before changing the Clan name and tag, read the Clan Rules (https://legal.na.wargaming.net/en/game-rules-wows/?_gl=1*1gh9nzz*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NTk5ODYuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.223575129.317960896.1714659473-1231894077.1707424508). Choose a Clan name and tag that do not violate the Rules.
Changing the Clan name and tag costs2,500 Doubloons. For this amount, you can change both the name and tag or just one of the attributes of your choice.
Only the Clan Commander and Deputy Commander can change the Clan name and tag. The Doubloons are withdrawn from the account of the player who performs this operation.
To change the Clan name and tag:
Open the ""Clans"" tab while in the Port.
Left-click on the Clan name and select ""Edit Clan Name and Tag.""
Make the necessary edits. If the name and tag you choose are taken, the system will notify you about that.
*The disbanded Clan name and tag will remain locked and cannot be used.
Click ""Save"" and confirm the operation. 2,500 Doubloons will be withdrawn from your accoun"
Clans,Clan: How to Leave,"To leave a Clan:
While in the Port, open the Clans tab.

Left-click on the Clan name and select ""Leave Clan"" from the menu that appears.

Please note: After leaving a Clan, you will not be able to perform any actions relating to Clans for a period of 3 days."
Clans,Clan: Positions,"After the Clan is created, the Commander can appoint Clanmates to various positions.

After being appointed to a position, apart from the responsibility, the Clanmate gains the possibility to perform various actions. These could include excluding players from the Clan, allocating Treasury resources, accepting applications to join the Clan, and so forth.

"
Clans,Clan: Commander,"Permissions and actions available to Commanders in a Clan:

Perform Clan search
Invite new players to the Clan
Accept new players who sent requests to join the Clan
Change the Clanmate position to any, except for Commander
Change Clan's Preferences
Exclude players from the Clan
Edit Clan name (for 2,500 Doubloons), as well as its description and tag
Build Naval Base facilities
Gather teams for Clan Battles and take part in them
Leave the Clan with a mandatory delegation of position to another player
Register the Clan for the Naval Battle
Allocate Clan resources"
Clans,Clan: Deputy Commander,"Permissions and actions available to Depuity Commanders in a Clan:

Perform Clan search
Invite new players to the Clan
Accept new players who sent requests to join the Clan
Exclude players from the Clan
Edit Clan name (for 2,500 Doubloons), as well as its description and tag
Modify the position of a Clanmate to any, except for Commander or Deputy Commander
Build Naval Base facilities
Gather teams for Clan Battles and take part in them
Leave the Clan
Register the Clan for the Naval Battle
Allocate Clan resources"
Clans,Clan: Recruiter,"Permissions and actions available to Recruiters in a Clan:

	
Perform Clan search
Invite new players to the Clan
Accept new players who sent requests to join the Clan
Gather teams for Clan Battles and take part in them
Leave the Clan"
Clans,"Clan: Line Officer, Commissioned Officer, Midshipman (common positions)","Permissions and actions available to common positions in a Clan:

Perform Clan search
Take part in Clan Battles
Leave the Clan"
Clans,Clan: Changing positions,"Players' positions in the Clan can be changed only by the entitled officers—Commander and Deputy Commander. They are able to:

Demote a player who is inferior in position
Promote a player who is inferior in position, but not to a superior position than the play who is doing the promoting
To change the player's position in the Clan:
Log in to the game.
Open the Clans tab located next to the ""Profile"" tab in the top pane of the Port.
Select the player you need among your Clanmates and mark them in the first column. To change the positions of several players simultaneously, mark them all. The button below the table will become active.
Click ""Modify Position.""
In the window that appears, select the position that you would like to appoint the Clanmate to.
Click ""Modify."" The Clanmate you selected will receive the new position and corresponding permissions.
If you're a Commander and would like to leave your position, you need to delegate authority to another Clanmate.

According to the Game and Clan Rules (https://legal.na.wargaming.net/en/game-rules-wows/?_gl=1*1s40rwo*_gcl_au*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*FPAU*MTMzMDk1NDE4OS4xNzA3NDI0NTA4*_ga*MTIzMTg5NDA3Ny4xNzA3NDI0NTA4*_ga_BWRKLL4HR5*MTcxNDY1OTQ2Ni4xNS4xLjE3MTQ2NjAwNTEuMC4wLjE1Mjc4MjE1MTc.*_fplc*YUR3bE1DRlJJTDFQUSUyQk9aRDhKaEg2S2ZTS0RmNVZsZmQlMkJTdEp0Q0tnZ2NISXQ4SW9BSGpUS1hSS0RzMWJLZyUyRmNsU0NEeUt0eWh2a2NHeEdpb3A4QjZ3aHY4S0NHWVRHRFpTcTk1Y1JJdnBQZ3Fxc3BBMkVIZWxPcSUyRkRlM3clM0QlM0Q.&_ga=2.132853964.317960896.1714659473-1231894077.1707424508) for World of Warships:

Game Administration does not intervene in players' Clan activities.
Any complaints related to conflicts inside a Clan (including questions related to the Clan Treasury) will not be considered by the Administration.
The responsibility for any conflict resolution lies with the Commanders, Deputy Commanders, and other authorized Clanmates.
By appointing Clanmates to the position of Deputy Commander or other positions, the Commander confirms their trust in them. Regular Clanmates, in their turn, accept the Clan Rules by joining it."
Clans,Clans: How to join them,"A Clan is a community of players that has been created for the purpose of playing together. There are two ways in which you can join one:
Send an application
Receive an invitation from the Clan

To submit an application:
If you've reached Account Level 17, the ""Clans"" tab will appear in the top pane of the Port next to the ""Profile"" tab.

Find a Clan. There are two ways to do that—manually and automatically.

To find a Clan manually:
Enter the Clan name or tag in the search bar.
Left-click the name of the Clan you need in the search results. The Clan's page will open.
Click ""Join Clan."" The Clan you applied to will receive your application.


To use automatic search:
Click ""Join a Clan"" or navigate to the ""Recommendations"" tab.
Specify your preferences.
Select a Clan from the list and click ""Send application.""


If you decide to join another Clan, you need to leave the Clan you're currently in first. Please note: After you leave a Clan, you will not be able to use the Clan features for 3 days."
Clans,Naval Battles: Quick Guide,"Under the Naval Battle section of the Clan tab, your Clan's Commander or Deputy Commander can opt in your Clan for the week. They can check the box beneath the button to automatically opt into future weeks.

The Naval Battle is held every week and consists of two stages. The Preparation stage runs from Monday through Thursday. The Engagement stage spans Friday through Sunday. To earn the right to compete against your opponents, your Clan has to complete a special mission during the Preparation stage.

Clans from all servers that complete the combat mission during the Preparation stage compete against other Clans from Friday through Sunday.

Clan vs. Clan is the standard format for the Engagement stage. A group format was added in Update 0.10.10. Starting from Update 0.10.11, the standard format of the Engagement stage is replaced by the group format every 4 weeks. Clans are randomly divided between several groups of 25 or 50 Clans each, and they compete against each other within the group according to the same rules that apply in a Clan vs. Clan format.

The Clan objective in a group format is to earn as many Stars as possible for completing missions from a table and take a higher place in the group.

A table will display the types and nations of ships that can be helmed into battle:
 
NOTE: During the Engagement stage, you need to have  ""Count Attempts"" enabled in the Naval Battle section for your progress to count toward your Clan's missions! Fight wisely—you only have a limited number of attempts to complete the mission.

Naval Battles may grant bonus Stars for clearing bars for randomly selected ship types/nations. More info about bonus Stars is available in the Naval Battle tab.

Oil is the main reward for the Naval Battle competition. It's earned by all participating Clans, depending on their level of activity."
